date,outflow(m3/d),avg_temp(C)
1999-04-28,253611603.7632,8.52
1999-04-29,258431349.6576,8.69
1999-04-30,263104301.2608,9.0
1999-05-01,276364718.8992,8.77
1999-05-02,282994927.71839994,8.35
1999-05-03,271373712.99840003,8.27
1999-05-04,266260378.5216,8.3
1999-05-05,261367235.4816,8.28
1999-05-06,262492658.3808,8.41
1999-05-07,259752498.2784,8.24
1999-05-08,247568572.1088,8.04
1999-05-09,251091635.0976,8.17
1999-05-10,244265700.5568,8.17
1999-05-11,248547200.7168,8.38
1999-05-12,237048314.5728,8.74
1999-05-13,253929658.0608,15.36
1999-05-14,254541300.9408,8.8
1999-05-15,254149849.4976,9.06
1999-05-16,249379035.03360003,8.92
1999-05-17,245268794.88,8.88
1999-05-18,255862449.5616,8.97
1999-05-19,249843883.6224,8.84
1999-05-20,263936135.5776,8.86
1999-05-21,265966789.9392,9.03
1999-05-22,268413361.4592,9.52
1999-05-23,274431927.3984,10.0
1999-05-24,307558505.7792,
1999-05-25,358936507.69920003,
1999-05-26,380025954.2016001,11.21
1999-05-27,397983789.1584,5.52
1999-05-28,426633141.6575999,
1999-05-29,420394384.28160006,
1999-05-30,431110367.5392,
1999-05-31,434975950.5408,
1999-06-01,434070719.0784,
1999-06-02,424798213.0176,33.45
1999-06-03,411439932.5184,28.19
1999-06-04,417849949.90079993,12.0
1999-06-05,428859521.7408,11.83
1999-06-06,436419427.7376,11.59
1999-06-07,432235790.4384,11.41
1999-06-08,406130872.32000005,11.32
1999-06-09,388907008.8192,11.56
1999-06-10,389934568.8576,11.33
1999-06-11,391451443.2,11.42
1999-06-12,375450865.4592,11.78
1999-06-13,378924997.0176,12.49
1999-06-14,381665157.12000006,12.9
1999-06-15,386460437.29920006,13.44
1999-06-16,406448926.6176,13.49
1999-06-17,415819295.53920007,13.61
1999-06-18,429691356.0576,13.78
1999-06-19,431722010.4192,13.87
1999-06-20,437740576.3584,14.16
1999-06-21,445594070.9376,13.8
1999-06-22,455673945.6,13.55
1999-06-23,443025170.84160006,13.59
1999-06-24,429177576.03839993,13.77
1999-06-25,443857005.1584,13.82
1999-06-26,435587593.4207999,13.52
1999-06-27,430694450.3808,13.93
1999-06-28,439159587.84,14.13
1999-06-29,442731582.2592,13.99
1999-06-30,441190242.2016001,13.97
1999-07-01,442413527.9616,2.93
1999-07-02,450878665.4208,
1999-07-03,434878087.68,
1999-07-04,421519807.1808,
1999-07-05,420810301.44,
1999-07-06,408381718.1184,
1999-07-07,390741937.4592,
1999-07-08,377090068.3776,
1999-07-09,391255717.47839993,
1999-07-10,392063086.08,
1999-07-11,403586437.9392,
1999-07-12,423868515.84,
1999-07-13,424675884.4416001,
1999-07-14,408283855.2576,7.89
1999-07-15,413176998.2976,15.43
1999-07-16,409800729.6,15.29
1999-07-17,374129716.8384,15.29
1999-07-18,353529584.64,15.62
1999-07-19,368306876.6208,15.15
1999-07-20,385432877.2608,15.16
1999-07-21,361065024.9216,15.47
1999-07-22,358422727.68,15.86
1999-07-23,325100423.5776,15.74
1999-07-24,327644857.9584,15.78
1999-07-25,322653852.0576,16.26
1999-07-26,327033215.0784,16.78
1999-07-27,348220524.4416,16.93
1999-07-28,351596793.13920003,16.88
1999-07-29,336599309.72160006,17.04
1999-07-30,349248084.48,17.44
1999-07-31,351596793.13920003,18.44
1999-08-01,363829650.73920006,18.2
1999-08-02,381053514.24,18.23
1999-08-03,375866782.6176,18.88
1999-08-04,359132233.4208,18.65
1999-08-05,369016382.3616,18.58
1999-08-06,357517496.2176,18.78
1999-08-07,351890381.72160006,18.1
1999-08-08,358006810.52160007,17.94
1999-08-09,371267228.16,17.58
1999-08-10,392160948.9408,17.53
1999-08-11,437226796.3392,17.87
1999-08-12,434975950.5408,17.73
1999-08-13,396662640.5376,17.82
1999-08-14,386974217.3183999,17.47
1999-08-15,384307454.3616,15.84
1999-08-16,360453382.0416001,15.18
1999-08-17,350177781.6576,15.18
1999-08-18,345773952.9216,15.47
1999-08-19,360869299.2,15.96
1999-08-20,383304360.0384,16.08
1999-08-21,370043942.4,16.2
1999-08-22,340782947.0208,16.64
1999-08-23,338042786.9184,16.7
1999-08-24,348342853.01759994,16.36
1999-08-25,346507924.37759995,15.61
1999-08-26,342006232.7808,15.02
1999-08-27,336109995.4176,15.04
1999-08-28,343743298.55999994,15.88
1999-08-29,348440715.8784,16.27
1999-08-30,347413155.84000003,16.32
1999-08-31,349566138.7776,16.29
1999-09-01,347829072.9984,16.15
1999-09-02,325712066.4576,15.83
1999-09-03,267165609.98400003,15.67
1999-09-04,239127900.3648,14.15
1999-09-05,230467037.184,11.12
1999-09-06,218601165.312,14.22
1999-09-07,216032265.216,14.65
1999-09-08,227066302.7712,14.87
1999-09-09,273257573.06880003,14.94
1999-09-10,278615564.69759995,14.87
1999-09-11,271520507.2896,14.85
1999-09-12,263642546.99520004,14.68
1999-09-13,258700472.5248,14.84
1999-09-14,248963117.8752,14.84
1999-09-15,244388029.1328,14.68
1999-09-16,250895909.376,14.65
1999-09-17,269440921.4976,14.79
1999-09-18,243800851.968,14.68
1999-09-19,236534534.5536,15.09
1999-09-20,234699605.9136,15.11
1999-09-21,243996577.6896,14.98
1999-09-22,255984778.1376,15.0
1999-09-23,252143660.8512,14.93
1999-09-24,241060691.8656,14.45
1999-09-25,243091346.2272,14.32
1999-09-26,255544395.264,14.18
1999-09-27,263202164.1216,13.87
1999-09-28,270541878.6816,13.66
1999-09-29,279325070.43840003,13.48
1999-09-30,288499713.6384,13.41
1999-10-01,258529212.5184,13.03
1999-10-02,255177409.536,12.8
1999-10-03,244852877.7216,12.68
1999-10-04,234503880.192,12.78
1999-10-05,243776386.2528,13.04
1999-10-06,220852011.1104,13.08
1999-10-07,209206330.67520005,13.03
1999-10-08,208717016.3712,12.93
1999-10-09,209597782.1184,12.61
1999-10-10,215127033.75360003,12.46
1999-10-11,213365502.2592,12.31
1999-10-12,228876765.696,12.3
1999-10-13,242993483.3664,12.35
1999-10-14,229194819.9936,12.14
1999-10-15,220289299.66080004,11.63
1999-10-16,218772425.31840003,11.52
1999-10-17,227653479.936,11.42
1999-10-18,214295199.4368,11.23
1999-10-19,211432710.7584,11.08
1999-10-20,201328370.3808,10.92
1999-10-21,195334270.15680003,10.82
1999-10-22,186966995.5584,10.86
1999-10-23,178673118.10559997,10.85
1999-10-24,179700678.144,10.88
1999-10-25,180728238.1824,10.55
1999-10-26,192520712.9088,10.4
1999-10-27,226136605.5936,10.41
1999-10-28,232546622.976,10.46
1999-10-29,210478547.8656,10.42
1999-10-30,264767969.8944,10.17
1999-10-31,257819706.7776,9.61
1999-11-01,257623981.056,9.21
1999-11-02,254957218.09919995,
1999-11-03,263520218.4192,9.52
1999-11-04,244290166.272,9.44
1999-11-05,222271022.592,9.18
1999-11-06,186722338.4064,8.94
1999-11-07,158415505.92,8.76
1999-11-08,154476525.7728,8.72
1999-11-09,164091551.84639996,8.68
1999-11-10,171211074.96960002,8.82
1999-11-11,189462498.5088,8.99
1999-11-12,189242307.072,9.17
1999-11-13,286444593.5616,9.12
1999-11-14,305723577.13920003,8.98
1999-11-15,300830434.0992,9.18
1999-11-16,267190075.6992,9.07
1999-11-17,241354280.448,9.01
1999-11-18,236656863.1296,9.05
1999-11-19,233843305.8816,9.03
1999-11-20,216032265.216,8.9
1999-11-21,208276633.4976,8.62
1999-11-22,203726010.4704,8.42
1999-11-23,218747959.6032,8.28
1999-11-24,234944263.0656,8.26
1999-11-25,239103434.64960003,7.9
1999-11-26,255764586.70080003,7.66
1999-11-27,268095307.1616,7.41
1999-11-28,279422933.2992,7.52
1999-11-29,270248290.09919995,7.5
1999-11-30,256792146.7392,7.4
1999-12-01,267801718.5792,7.35
1999-12-02,281673779.0976,7.27
1999-12-03,289625136.5376,7.04
1999-12-04,292463159.5008,6.96
1999-12-05,297062713.9584,6.82
1999-12-06,296744659.66080004,6.63
1999-12-07,277685867.52000004,6.56
1999-12-08,275043570.27839994,6.55
1999-12-09,291753653.76,6.36
1999-12-10,295423511.04,6.37
1999-12-11,309393434.41919994,6.18
1999-12-12,311937868.8,6.13
1999-12-13,311840005.9392,6.0
1999-12-14,316415094.68160003,6.01
1999-12-15,303692922.7776,5.95
1999-12-16,309491297.28,5.86
1999-12-17,302151582.72,5.86
1999-12-18,308781791.5392,5.83
1999-12-19,307362780.0576,5.52
1999-12-20,303790785.6384,5.54
1999-12-21,294200225.28000003,5.47
1999-12-22,278493236.1216,5.22
1999-12-23,283288516.3008,5.32
1999-12-24,276976361.7792,5.39
1999-12-25,275435021.7216,5.35
1999-12-26,266480569.9584,5.27
1999-12-27,262296932.6592,5.24
1999-12-28,252535112.2944,5.24
1999-12-29,255984778.1376,5.09
1999-12-30,252828700.87680003,5.09
1999-12-31,267899581.44,4.94
2000-01-01,255006149.5296,4.91
2000-01-02,269220730.0608,5.03
2000-01-03,273306504.4992,4.71
2000-01-04,268829278.6176,4.63
2000-01-05,267287938.56,4.57
2000-01-06,282897064.8576,4.36
2000-01-07,285955279.25759995,4.41
2000-01-08,285123444.9408,4.34
2000-01-09,282579010.56,4.34
2000-01-10,283386379.1616,4.13
2000-01-11,284927719.2192,4.12
2000-01-12,275239296.0,4.11
2000-01-13,277074224.64,4.2
2000-01-14,286053142.1184,4.1
2000-01-15,295325648.17919993,4.0
2000-01-16,289013493.65760005,3.97
2000-01-17,280841944.78080004,4.11
2000-01-18,297674356.8384,3.48
2000-01-19,327742720.81920004,3.6
2000-01-20,323265494.9376,3.63
2000-01-21,322237934.8992,3.57
2000-01-22,311840005.9392,3.47
2000-01-23,330703072.3584,3.58
2000-01-24,321724154.88,3.57
2000-01-25,325491875.0208,3.57
2000-01-26,325394012.16,3.8
2000-01-27,323045303.5008,3.87
2000-01-28,318470214.7584,3.89
2000-01-29,305209797.12,3.95
2000-01-30,290334642.2784,4.03
2000-01-31,295325648.17919993,3.81
2000-02-01,277881593.24160004,3.68
2000-02-02,266651829.9648,3.86
2000-02-03,264621175.6032,3.83
2000-02-04,268388895.74400005,3.66
2000-02-05,256645352.448,3.66
2000-02-06,252192592.2816,3.79
2000-02-07,261465098.3424,3.73
2000-02-08,259532306.8416,3.65
2000-02-09,255275272.3968,3.77
2000-02-10,252779769.4464,3.89
2000-02-11,255911380.992,3.8
2000-02-12,249697089.33120003,3.96
2000-02-13,244681617.7152,3.98
2000-02-14,245611314.8928,3.79
2000-02-15,246932463.5136,3.74
2000-02-16,249183309.312,3.77
2000-02-17,255152943.8208,3.46
2000-02-18,248571666.432,3.51
2000-02-19,251483086.54080003,3.44
2000-02-20,251091635.0976,3.48
2000-02-21,247739832.1152,3.76
2000-02-22,252265989.4272,3.77
2000-02-23,249330103.6032,3.78
2000-02-24,250186403.6352,3.78
2000-02-25,251385223.68,3.7
2000-02-26,247593037.824,3.76
2000-02-27,248375940.7104,3.78
2000-02-28,247446243.5328,3.9
2000-02-29,238369463.1936,3.96
2000-03-01,233451854.4384,3.99
2000-03-02,230956351.488,4.07
2000-03-03,216423716.6592,4.03
2000-03-04,207958579.2,4.15
2000-03-05,210527479.296,4.22
2000-03-06,206979950.592,4.05
2000-03-07,219751053.9264,4.23
2000-03-08,216007799.5008,4.36
2000-03-09,218209713.8688,4.29
2000-03-10,217598070.9888,4.51
2000-03-11,236632397.4144,4.47
2000-03-12,233769908.736,4.55
2000-03-13,238271600.3328,4.51
2000-03-14,230100051.456,4.52
2000-03-15,224130416.9472,4.53
2000-03-16,215542950.912,4.56
2000-03-17,212802790.8096,4.57
2000-03-18,208912742.0928,4.57
2000-03-19,196117173.0432,4.49
2000-03-20,200080618.9056,4.51
2000-03-21,221121133.9776,4.72
2000-03-22,214931308.032,4.55
2000-03-23,201352836.096,4.71
2000-03-24,183737521.152,4.76
2000-03-25,175932958.00319996,4.71
2000-03-26,178061475.2256,4.83
2000-03-27,180508046.7456,4.98
2000-03-28,173657646.48960003,5.16
2000-03-29,162599143.21919996,5.38
2000-03-30,161473720.32,5.55
2000-03-31,157779397.32479998,5.63
2000-04-01,162501280.3584,5.96
2000-04-02,161914103.19360003,6.15
2000-04-03,152250145.6896,
2000-04-04,172409895.0144,
2000-04-05,154207402.9056,5.79
2000-04-06,166366863.35999998,6.04
2000-04-07,165119111.8848,5.74
2000-04-08,167663546.26560003,1.67
2000-04-09,167492286.25919998,1.94
2000-04-10,181242018.2016,3.81
2000-04-11,172507757.8752,6.75
2000-04-12,175932958.00319996,6.85
2000-04-13,177425366.63039997,7.02
2000-04-14,203946201.9072,6.94
2000-04-15,190710249.98400003,6.94
2000-04-16,191811207.168,7.06
2000-04-17,202355930.4192,7.32
2000-04-18,203799407.616,7.25
2000-04-19,227922602.8032,7.41
2000-04-20,252412783.7184,7.56
2000-04-21,266994349.9776,8.14
2000-04-22,260902386.8928,7.89
2000-04-23,269122867.2,7.73
2000-04-24,269440921.4976,7.95
2000-04-25,271985355.8784,7.95
2000-04-26,277074224.64,7.98
2000-04-27,255250806.6816,7.81
2000-04-28,269440921.4976,7.74
2000-04-29,282065230.54080003,7.89
2000-04-30,275239296.0,7.95
2000-05-01,273820284.51839995,8.34
2000-05-02,276168993.1776,8.48
2000-05-03,282285421.9776,8.46
2000-05-04,287667879.3216,7.41
2000-05-05,300732571.2384,7.89
2000-05-06,301246351.2576,8.13
2000-05-07,298677451.16159993,7.98
2000-05-08,294518279.5776,8.2
2000-05-09,291851516.6208,6.47
2000-05-10,287472153.6,3.02
2000-05-11,283288516.3008,8.5
2000-05-12,256107106.7136,9.13
2000-05-13,261416166.912,7.99
2000-05-14,241916991.8976,3.65
2000-05-15,245611314.8928,3.6
2000-05-16,240522446.1312,6.41
2000-05-17,239984200.3968,9.76
2000-05-18,241672334.7456,10.12
2000-05-19,259532306.8416,10.45
2000-05-20,271153521.5616,10.73
2000-05-21,297454165.4016,10.94
2000-05-22,320207280.5376,11.02
2000-05-23,331926358.1184,10.98
2000-05-24,331828495.25759995,11.27
2000-05-25,319375446.2208,11.76
2000-05-26,314482303.1808,12.08
2000-05-27,301735665.5616,11.91
2000-05-28,301539939.84000003,11.81
2000-05-29,303277005.61919993,11.79
2000-05-30,303472731.3408,11.74
2000-05-31,305723577.13920003,11.68
2000-06-01,317246928.9983999,11.7
2000-06-02,310200803.0208,11.04
2000-06-03,306628808.6016,11.36
2000-06-04,307754231.5008,11.78
2000-06-05,326103517.9008,12.0
2000-06-06,311032637.3376,12.0
2000-06-07,321112512.0,11.76
2000-06-08,299289094.0416,11.74
2000-06-09,309809351.5776,11.77
2000-06-10,327742720.81920004,9.45
2000-06-11,321822017.7407999,0.14
2000-06-12,334984572.51839995,0.17
2000-06-13,354239090.3808,0.17
2000-06-14,354459281.81759995,0.03
2000-06-15,390937663.1808,0.02
2000-06-16,383695811.4816,5.18
2000-06-17,385946657.28,11.35
2000-06-18,385530740.1216,5.74
2000-06-19,362190447.8208,
2000-06-20,327742720.81920004,
2000-06-21,308463737.2416,0.08
2000-06-22,311424088.7808,0.05
2000-06-23,299191231.1808,
2000-06-24,307460642.9184,
2000-06-25,299705011.2,0.01
2000-06-26,293172665.24160004,
2000-06-27,288401850.77759993,5.52
2000-06-28,285441499.23840004,13.85
2000-06-29,287178565.0176,14.01
2000-06-30,299900736.9216,13.92
2000-07-01,312549511.68,1.7
2000-07-02,311840005.9392,
2000-07-03,320084951.9616,
2000-07-04,318470214.7584,
2000-07-05,323559083.52,
2000-07-06,337529006.8992,
2000-07-07,343645435.69920003,
2000-07-08,335498352.5376,
2000-07-09,318665940.48,0.9
2000-07-10,330605209.4976,2.24
2000-07-11,310616720.1792,2.24
2000-07-12,282579010.56,5.79
2000-07-13,308781791.5392,14.59
2000-07-14,318861666.2016,14.57
2000-07-15,301026159.8208,14.52
2000-07-16,267190075.6992,15.01
2000-07-17,263030904.1152,15.83
2000-07-18,267483664.2816,16.2
2000-07-19,259507841.1264,16.27
2000-07-20,243164743.3728,16.61
2000-07-21,238540723.2,16.94
2000-07-22,260951318.3232,17.39
2000-07-23,274211735.96159995,17.39
2000-07-24,272499135.8976,17.33
2000-07-25,296353208.2176,17.13
2000-07-26,319277583.36,17.14
2000-07-27,323754809.24160004,16.52
2000-07-28,310420994.4576,16.32
2000-07-29,273306504.4992,16.4
2000-07-30,262394795.52,17.49
2000-07-31,293148199.5264,17.96
2000-08-01,323045303.5008,17.6
2000-08-02,307460642.9184,18.06
2000-08-03,304598154.24,17.9
2000-08-04,302665362.7392,17.62
2000-08-05,320500869.12,16.86
2000-08-06,317246928.9983999,17.63
2000-08-07,307142588.6208,17.41
2000-08-08,306946862.8992,17.57
2000-08-09,317638380.4416,17.53
2000-08-10,314090851.7376,16.63
2000-08-11,314996083.2,16.64
2000-08-12,275557350.2976,16.92
2000-08-13,269025004.3392,16.05
2000-08-14,293074802.3808,16.95
2000-08-15,275948801.7408,17.6
2000-08-16,253220152.32,17.79
2000-08-17,224717594.112,17.81
2000-08-18,221390256.8448,17.72
2000-08-19,208496824.9344,17.07
2000-08-20,185523518.3616,17.32
2000-08-21,191884604.31360003,17.59
2000-08-22,194453504.4096,17.31
2000-08-23,213830350.848,17.41
2000-08-24,211750765.056,17.18
2000-08-25,211726299.3408,17.32
2000-08-26,206025787.6992,16.79
2000-08-27,223102856.9088,16.57
2000-08-28,246394217.7792,16.84
2000-08-29,237146177.4336,16.69
2000-08-30,240400117.55520004,16.51
2000-08-31,236045220.2496,16.38
2000-09-01,214906842.3168,16.21
2000-09-02,191517618.5856,15.86
2000-09-03,195138544.4352,15.67
2000-09-04,191542084.30080003,15.72
2000-09-05,200496536.064,15.88
2000-09-06,238711983.2064,15.62
2000-09-07,279422933.2992,15.56
2000-09-08,273306504.4992,14.92
2000-09-09,245611314.8928,14.05
2000-09-10,252657440.8704,13.98
2000-09-11,253244618.0352,14.0
2000-09-12,257452721.0496,13.67
2000-09-13,253685000.9088,13.56
2000-09-14,252363852.288,13.95
2000-09-15,254737026.6624,14.38
2000-09-16,236852588.8512,14.52
2000-09-17,228852299.9808,14.7
2000-09-18,243751920.5376,14.69
2000-09-19,245807040.6144,14.62
2000-09-20,256694283.8784,14.42
2000-09-21,246125094.912,14.26
2000-09-22,226381262.7456,14.0
2000-09-23,228216191.38560003,13.68
2000-09-24,221659379.712,13.82
2000-09-25,204190859.0592,13.87
2000-09-26,187089324.1344,13.78
2000-09-27,179064569.54879996,13.71
2000-09-28,169253817.7536,13.76
2000-09-29,172654552.1664,13.55
2000-09-30,173412989.33760002,13.42
2000-10-01,166587054.79680002,13.18
2000-10-02,166733849.08800003,13.02
2000-10-03,162476814.64319998,13.07
2000-10-04,191272961.4336,12.99
2000-10-05,190808112.8448,12.72
2000-10-06,180801635.328,12.53
2000-10-07,182245112.5248,12.34
2000-10-08,168568777.72800002,12.11
2000-10-09,173804440.7808,11.97
2000-10-10,169914392.064,12.06
2000-10-11,167736943.41120002,11.93
2000-10-12,173633180.7744,11.88
2000-10-13,181315415.3472,11.79
2000-10-14,167981600.5632,11.84
2000-10-15,158537834.496,11.8
2000-10-16,178257200.9472,11.79
2000-10-17,175835095.1424,11.71
2000-10-18,169596337.76639998,11.59
2000-10-19,,10.07
2000-10-20,183076946.8416,1.21
2000-10-21,171651457.8432,1.29
2000-10-22,184373629.7472,1.55
2000-10-23,184422561.1776,3.93
2000-10-24,186746804.1216,0.12
2000-10-25,189046581.3504,5.04
2000-10-26,192863232.9216,11.82
2000-10-27,193597204.3776,11.77
2000-10-28,192422850.048,11.68
2000-10-29,192080330.03520003,11.48
2000-10-30,188312609.8944,11.3
2000-10-31,191346358.5792,11.14
2000-11-01,194110984.3968,11.06
2000-11-02,193646135.80800003,10.94
2000-11-03,193915258.6752,10.82
2000-11-04,197438321.664,10.69
2000-11-05,204288721.92,10.4
2000-11-06,203823873.3312,10.12
2000-11-07,189438032.7936,10.1
2000-11-08,,9.98
2000-11-09,,9.84
2000-11-10,,9.51
2000-11-11,,9.26
2000-11-12,,9.17
2000-11-13,,9.02
2000-11-14,,8.68
2000-11-15,,8.56
2000-11-16,,8.6
2000-11-17,,8.43
2000-11-18,186306421.248,8.43
2000-11-19,165999877.632,8.44
2000-11-20,184251301.1712,7.06
2000-11-21,190245401.3952,5.13
2000-11-22,190538989.9776,
2000-11-23,179333692.416,
2000-11-24,185988366.9504,
2000-11-25,182881221.12,
2000-11-26,167076369.1008,
2000-11-27,186477681.2544,32.7
2000-11-28,192055864.32,
2000-11-29,194135450.112,
2000-11-30,206735293.44,33.1
2000-12-01,210160493.568,22.84
2000-12-02,213047447.9616,15.13
2000-12-03,229390545.7152,3.96
2000-12-04,231714788.65919995,0.12
2000-12-05,229733065.728,0.25
2000-12-06,227751342.7968,5.33
2000-12-07,235360180.224,4.16
2000-12-08,230491502.8992,0.14
2000-12-09,226063208.448,18.69
2000-12-10,230197914.3168,9.47
2000-12-11,251727743.6928,16.18
2000-12-12,241647869.0304,27.95
2000-12-13,264058464.1536,
2000-12-14,275850938.88,
2000-12-15,289918725.12,
2000-12-16,283092790.5792,
2000-12-17,260853455.4624,
2000-12-18,270223824.38400006,8.99
2000-12-19,267801718.5792,3.97
2000-12-20,272474670.1824,3.04
2000-12-21,270590810.112,2.39
2000-12-22,256278366.72000003,2.21
2000-12-23,219506396.7744,2.71
2000-12-24,188997649.92,3.36
2000-12-25,182440838.2464,3.24
2000-12-26,186551078.4,3.23
2000-12-27,192961095.7824,3.05
2000-12-28,189756087.0912,3.6
2000-12-29,181168621.056,3.73
2000-12-30,167467820.54400003,3.76
2000-12-31,165583960.47360003,3.67
2001-01-01,157265617.3056,3.74
2001-01-02,169376146.3296,3.71
2001-01-03,167027437.6704,3.8
2001-01-04,165902014.7712,3.7
2001-01-05,164018154.70080003,3.76
2001-01-06,161277994.5984,3.76
2001-01-07,151344914.2272,3.64
2001-01-08,141852216.72959998,3.64
2001-01-09,148042042.67520002,3.78
2001-01-10,145473142.5792,3.85
2001-01-11,162036431.76960003,3.68
2001-01-12,154770114.3552,3.76
2001-01-13,141852216.72959998,3.76
2001-01-14,140873588.12159997,3.83
2001-01-15,143099968.2048,3.45
2001-01-16,141020382.4128,3.38
2001-01-17,151418311.3728,3.38
2001-01-18,150831134.20799997,3.33
2001-01-19,150146094.1824,3.42
2001-01-20,,3.35
2001-01-21,,3.13
2001-01-22,145766731.1616,3.35
2001-01-23,155504085.8112,3.31
2001-01-24,152690528.5632,3.28
2001-01-25,148017576.96,3.33
2001-01-26,157681534.46400002,3.26
2001-01-27,153571294.3104,3.36
2001-01-28,152250145.6896,3.2
2001-01-29,148604754.1248,3.19
2001-01-30,150953462.784,3.06
2001-01-31,150733271.3472,3.17
2001-02-01,156996494.4384,3.28
2001-02-02,158024054.4768,2.81
2001-02-03,157265617.3056,3.31
2001-02-04,152935185.7152,3.33
2001-02-05,162232157.49120003,3.24
2001-02-06,154745648.64,3.18
2001-02-07,163088457.5232,2.94
2001-02-08,,2.95
2001-02-09,188973184.2048,3.12
2001-02-10,176593532.31360003,3.28
2001-02-11,172703483.5968,3.31
2001-02-12,182685495.3984,3.08
2001-02-13,182930152.5504,3.08
2001-02-14,190783647.1296,3.2
2001-02-15,187872227.0208,3.22
2001-02-16,184960806.912,3.08
2001-02-17,185743709.7984,2.99
2001-02-18,174440549.376,3.1
2001-02-19,183395001.1392,3.13
2001-02-20,185890504.08960003,3.11
2001-02-21,187823295.5904,3.15
2001-02-22,183664124.0064,3.2
2001-02-23,192618575.7696,3.05
2001-02-24,179333692.416,3.25
2001-02-25,171480197.8368,3.24
